review_id,port,sentence,sentiment
21,Roatan,"Overall, I liked how each port offered a different pace: Roatan for nature and animals, Costa Maya for a relaxed beach day, and Cozumel for activity and exploring.",0.7184
21,Cozumel,"Overall, I liked how each port offered a different pace: Roatan for nature and animals, Costa Maya for a relaxed beach day, and Cozumel for activity and exploring.",0.7184
22,Roatan,Roatan was a pleasant surprise for us.,0.6597
22,Roatan,The highlight was holding a sloth and seeing how the staff cared for rescued animals.,0.7906
22,Roatan,"Still, we saw plenty of fish and enjoyed the experience, even if it felt a bit rushed compared to Roatan.",0.5106
23,Roatan,Roatan was our favorite stop.,0.2023
23,Roatan,"The animals were the highlight, especially getting close to the sloths.",0.34
23,Costa Maya,"Costa Maya we mostly stayed near the port and walked around the shops, nothing too exciting.",-0.3875
23,Cozumel,In Cozumel we just took a taxi to a small beach area and relaxed for a couple of hours.,0.4939
24,Roatan,Roatan we booked a half-day island tour that included a monkey and sloth encounter and a stop at a hillside viewpoint.,-0.296
24,Roatan,The guide shared a lot about local life which made the drive interesting.,0.6249
24,Costa Maya,Costa Maya was very relaxed for us.,0.5413
24,Costa Maya,"The beach was calm, with shallow water and light crowds, which was exactly what we wanted after a busy travel day.",0.3182
25,Costa Maya,"I would say Roatan had the best balance of activity and nature, while Costa Maya was best for pure relaxation and Cozumel was somewhere in between.",0.9153
25,Roatan,"I would say Roatan had the best balance of activity and nature, while Costa Maya was best for pure relaxation and Cozumel was somewhere in between.",0.9153
25,Cozumel,"I would say Roatan had the best balance of activity and nature, while Costa Maya was best for pure relaxation and Cozumel was somewhere in between.",0.9153
27,Roatan,Roatan was the highlight of our cruise.,0.34
27,Roatan,We did a guided wildlife and beach excursion and the sloth encounter was honestly the best part.,0.802
27,Roatan,The animals are clearly well cared for and the staff took time to explain everything.,0.765
27,Cozumel,Cozumel was better.,0.4404
27,Cozumel,The guide was helpful and kept the group together well.,0.5994
27,Costa Maya,"Overall Roatan stood out the most for nature and interaction, while Cozumel was good for activity and Costa Maya was the weakest for us personally.",-0.1027
27,Roatan,"Overall Roatan stood out the most for nature and interaction, while Cozumel was good for activity and Costa Maya was the weakest for us personally.",-0.1027
27,Cozumel,"Overall Roatan stood out the most for nature and interaction, while Cozumel was good for activity and Costa Maya was the weakest for us personally.",-0.1027
28,Roatan,In Roatan we went on a small group island tour that included a sloth and monkey stop plus a scenic drive through the hills.,-0.296
28,Roatan,The views were beautiful and the guide talked a lot about local communities which made it feel more personal.,0.5994
28,Cozumel,"Cozumel we tried snorkeling near a reef and although there were many boats around, the water clarity was good enough to enjoy spotting fish and coral.",0.8316
29,Roatan,Roatan we did a quick animal sanctuary visit and it was the best part of the stop.,0.4588
29,Roatan,Getting close to sloths and hearing about their rescue was really memorable.,0.5106
29,Cozumel,Cozumel we took a taxi to a small beach area and just relaxed in the shade for a while.,0.4939
29,Cozumel,nice day overall.,0.4215
30,Roatan,Roatan we booked a private island tour that included a sloth encounter and a stop at a local beach.,-0.296
30,Roatan,"The drive through the island gave us a good sense of everyday life there, not just tourist spots.",0.4404
31,Roatan,Roatan was very nature focused for us.,0.4364
31,Roatan,We did a combined sloth sanctuary and beach excursion and it felt well paced.,0.2732
31,Roatan,The animals were definitely the highlight.,0.6249
31,Cozumel,"Cozumel we joined a reef snorkeling tour and while it was busy with other groups, the underwater visibility made it worth it.",0.2263
31,Cozumel,Each stop had something different to offer,-0.296
32,Roatan,Roatan we went to a wildlife park and it was surprisingly meaningful.,0.5423
32,Roatan,Seeing sloths up close and learning about conservation efforts made the stop feel worthwhile.,0.0516
33,Costa Maya,Costa Maya we went to a beach club about fifteen minutes away from the port and it was much quieter than expected with plenty of space to relax.,0.4404
33,Cozumel,Cozumel we booked a snorkeling excursion that had good visibility,0.4404
33,Cozumel,felt slightly rushed due to multiple stops and other boats around.,-0.1531
33,Cozumel,"Still, we saw a lot of marine life and enjoyed the day overall.",0.5106
34,Roatan,Roatan we joined a small group tour focused on wildlife and scenery.,0.3818
34,Roatan,The sloth encounter was definitely the highlight and the guides were informative without being overwhelming.,0.6249
34,Cozumel,"In Cozumel we tried a reef snorkeling trip and although there were a lot of people, the water clarity made it worth going.",0.5574
34,Cozumel,Each port felt different in pace and energy.,0.2732
35,Roatan,Roatan was mostly about the animal sanctuary for us and it ended up being a really good decision.,0.4927
35,Roatan,The sloths were adorable and the guides were knowledgeable.,0.4939
35,Cozumel,Cozumel we took a short taxi ride to a beach area and relaxed under umbrellas for a few hours.,0.4939
35,Cozumel,It was a calm and easy day overall.,0.6369
36,Costa Maya,Costa Maya we opted for a beach club away from the port and it was much quieter than expected with clear water and relaxed atmosphere.,0.7003
36,Cozumel,"Cozumel we did snorkeling near a reef and while there were several groups, the marine life made it worth the trip.",0.2263
37,Roatan,Roatan was a great nature stop.,0.4404
37,Roatan,We did a sloth and monkey sanctuary visit and it felt well organized and not overly touristy.,0.2732
37,Costa Maya,Costa Maya we mostly stayed in the port area and it was fine for a short walk,0.2023
38,Costa Maya,Costa Maya we went to a quiet beach club outside the port and enjoyed a very relaxed afternoon by the water.,0.7778
38,Cozumel,"Cozumel we did snorkeling near a reef and although it was busy, the water clarity was excellent and we saw plenty of fish.",0.7506
39,Roatan,Roatan we did a sloth sanctuary tour and it was easily the highlight of the cruise itinerary.,0.5859
39,Roatan,The animals were the main attraction and the staff were great.,0.7964
39,Cozumel,Cozumel we took a short ride to a beach area and relaxed for a couple of hours.,0.4939
39,Cozumel,enjoyable stop.,0.1779
40,Roatan,Roatan we booked a wildlife and beach tour and the sloth encounter was the best part of the entire day.,0.6369
40,Costa Maya,"Costa Maya we went to a beach club outside the port and it was calm, not crowded, and easy to enjoy.",0.4756
40,Costa Maya,the currents were stronger than expected so we did not stay in the water long.,0.3818
40,Costa Maya,"Still, the visibility was good and we saw enough marine life to make it worthwhile.",0.6486
41,Roatan,Roatan was the highlight for us.,0.34
41,Roatan,"We did the monkey and sloth hangout which was cute, though it felt a bit like a production line for tourists.",0.6705
41,Costa Maya,"In Costa Maya, we didn't bother with an excursion and just walked around the port area.",0.2584
41,Costa Maya,Big mistake.,-0.34
41,Cozumel,Cozumel was much better for independent exploring.,0.4404
41,Cozumel,The snorkeling right off the shore was surprisingly decent for being so close to the pier.,0.296
41,Cozumel,"I wish we had more than six hours in Cozumel though, as we felt rushed to get back before the gangway closed.",0.4019
41,Cozumel,stay away from the port 'villages' if you want anything authentic.,0.0772
42,Cozumel,We did the Amazing Cozumel Race which is like a scavenger hunt around the downtown area.,0.743
42,Cozumel,It was a great way to see the local plazas and backstreets rather than just the tourist shops by the pier.,0.6249
42,Roatan,Roatan was beautiful,0.5994
42,Roatan,the traffic is insane.,-0.4019
42,Roatan,"If you go to Roatan, make sure you leave plenty of buffer time because those narrow roads get backed up fast when multiple ships are in port.",0.296
43,Roatan,Roatan was also great for diving.,0.6597
43,Roatan,I went with a local shop instead of the ship excursion and saved about forty bucks.,0.4215
43,Roatan,The reef is in much better shape than I saw in Mexico.,0.4404
43,Costa Maya,My only complaint was Costa Maya.,-0.296
43,Costa Maya,the sun was brutal and there isn't much shade.,-0.6249
44,Roatan,We had a lovely time in Roatan.,0.5859
44,Roatan,We took a private taxi tour which was much easier on my husband's knees than the big tour buses.,0.4215
44,Roatan,The driver took us to a high point for photos and then to a nice chocolate factory.,0.4215
44,Costa Maya,"Costa Maya was a bit too much walking for us, so we stayed on the ship and enjoyed the quiet.",0.5106
44,Costa Maya,"It was nice to see the fish without getting wet,",0.4215
44,Costa Maya,the boat was a bit crowded and hard to see out of at times.,-0.1027
45,Costa Maya,Costa Maya was the surprise winner for me.,0.7096
45,Costa Maya,the water is crystal clear and has seven different shades of blue.,0.3818
45,Cozumel,It felt way more exclusive than the crowded beaches in Cozumel.,0.2006
45,Cozumel,"Speaking of Cozumel, it was just okay.",0.2263
45,Cozumel,It felt like snorkeling in a soup of people.,0.3612
46,Cozumel,"Cozumel was a tourist trap, honestly.",0.1779
46,Cozumel,Too many people pushing pharmacy meds and fake silver.,-0.4767
46,Costa Maya,Costa Maya was better if you get away from the pier.,0.4404
47,Costa Maya,Our day in Costa Maya was quite frustrating.,-0.4927
47,Costa Maya,"Once we finally got moving, the town of Mahahual was charming,",0.5859
47,Costa Maya,the initial stress ruined the vibe.,-0.7096
47,Roatan,I wish the ship stayed in Roatan until sunset because the departure was a bit early.,0.4019
48,Costa Maya,We loved the history in Costa Maya!,0.636
48,Costa Maya,The Mayan ruins at Chacchoben are a must-see if you haven't been.,-0.4404
48,Costa Maya,"Our guide, Ivan, was so passionate and pointed out spider monkeys in the trees above the temples.",0.656
48,Roatan,Roatan was our relaxation day.,0.5267
48,Roatan,the water is calm and the lunch was fantastic-fresh lobster and coconut rice.,0.3182
48,Roatan,"One thing to note: the pier in Roatan is very long, so be prepared for a walk if you don't use the 'magic chair' lift.",0.2911
49,Cozumel,Cozumel felt very safe and easy to navigate.,0.7474
49,Cozumel,It was peaceful.,0.4939
49,Costa Maya,Costa Maya felt like a giant souvenir shop.,0.3612
49,Roatan,"In Roatan, we had a bit of a scare when our tour van got a flat tire on the way back from the iguana farm.",-0.4939
49,Roatan,"The driver handled it well and got a replacement vehicle quickly,",0.2732
49,Roatan,we were worried about missing the ship.,-0.5267
49,Roatan,I'd recommend only using reputable tour companies there because the infrastructure isn't great.,-0.2008
50,Cozumel,Cozumel: Palancar Beach is the way to go if you want quiet.,0.0772
50,Cozumel,"No loud music, just waves.",-0.296
51,Cozumel,I was disappointed with the time allocation in Cozumel.,-0.4767
51,Costa Maya,"Costa Maya was better for timing, as we had a full 8 hours.",0.4404
51,Costa Maya,The service was impeccable and they limit the number of guests so it never feels crowded.,0.0772
51,Roatan,Roatan was beautiful,0.5994
52,Costa Maya,Costa Maya ruins were much more my speed.,-0.4404
52,Costa Maya,The jungle setting is very peaceful.,0.5413
53,Roatan,Roatan is stunning.,0.3818
53,Roatan,We did the 'Best of Roatan' tour.,0.6369
53,Roatan,The views from the hills are amazing.,0.5859
53,Roatan,We saw the sloths which were the highlight for the kids.,0.34
53,Costa Maya,"Costa Maya was okay, we did the beach break.",0.2263
53,Cozumel,"Cozumel was great for shopping, got some nice vanilla and hot sauce.",0.7845
54,Costa Maya,"In Costa Maya, we did the 'Lost Mayan Kingdom' water park.",-0.3182
54,Costa Maya,"It was actually a lot of fun, especially the 'zip-coaster' thing.",0.5106
54,Costa Maya,It's right next to the port so no long bus rides.,-0.4341
55,Roatan,"Roatan's natural beauty is the best of the three,",0.8885
55,Roatan,"We went to the botanical gardens and it was lovely,",0.5859
55,Roatan,Definitely wear good shoes if you go off the beaten path in Roatan.,0.4215
55,Roatan,The itinerary overall was great for seeing different sides of the Western Caribbean.,0.6249
56,Roatan,Roatan was our least favorite.,-0.357
57,Roatan,"Roatan had three ships in, and it felt like the island was at capacity.",0.3612
57,Roatan,"We did the sloth sanctuary, which was fun",0.5106
57,Costa Maya,Costa Maya was better for lounging.,0.4404
57,Costa Maya,"It's free and actually quite large, though the drinks are pricey.",0.5106
57,Cozumel,Cozumel was our best day.,0.6369
58,Cozumel,I loved Cozumel!,0.636
58,Costa Maya,Costa Maya was a bit disappointing in comparison.,-0.4939
58,Roatan,Roatan was better; we went to a small resort called Turquoise Bay.,0.4404
58,Roatan,It was quiet and the water was like glass.,0.3612
59,Costa Maya,Costa Maya has some great ruins if you don't mind the bus ride.,0.296
59,Costa Maya,Chacchoben is impressive.,0.5106
59,Roatan,Roatan's West End is great for a stroll and a local beer.,0.6249
60,Cozumel,Cozumel was our favorite stop.,0.2023
60,Cozumel,We learned how to make traditional chocolate and the samples were delicious.,0.5719
61,Roatan,Roatan was the absolute highlight for us.,0.34
61,Costa Maya,"If I did this itinerary again, I'd definitely plan a real excursion for Costa Maya instead of winging it.",0.4019
62,Cozumel,Cozumel is always a favorite for our family.,0.4588
62,Cozumel,We headed straight to Paradise Beach.,0.7269
62,Cozumel,the service was top-notch and the kids loved the inflatable water park.,0.5994
62,Roatan,Roatan was beautiful,0.5994
62,Roatan,the traffic is getting out of hand.,0.4939
62,Roatan,"It took us nearly 45 minutes to get back from the monkey sanctuary, and we were starting to get nervous about the all-aboard time.",-0.2732
62,Costa Maya,"Costa Maya was okay,",0.2263
62,Costa Maya,"Not a bad trip,",0.431
62,Roatan,I wish we had more time in Roatan to actually see the island instead of just sitting in a van.,0.4019
63,Costa Maya,We did the Chacchoben ruins in Costa Maya and it was a spiritual experience.,-0.4404
63,Costa Maya,Our guide was actually Mayan and shared so much about the calendar and the limestone structures.,0.34
63,Costa Maya,it was worth it to see the spider monkeys in the trees.,0.2263
63,Cozumel,"Cozumel was just a shopping day for us, nothing too exciting.",-0.3875
64,Roatan,Roatan's coastline is stunning,0.3818
64,Roatan,the port area at Mahogany Bay feels like a trap.,0.0516
64,Roatan,You have to pay for a chair lift just to get to a crowded beach?,-0.1027
64,Roatan,No thanks.,-0.3412
64,Cozumel,Cozumel was better; we rented a Jeep and drove the perimeter road.,0.4404
64,Cozumel,Highly recommend stopping at the small beach shacks on the east side for a beer.,0.2298
64,Costa Maya,Costa Maya was the only disappointment.,-0.5106
65,Cozumel,Cozumel was great for diving.,0.6597
65,Roatan,"Roatan was okay,",0.2263
65,Roatan,we had a delay getting off the ship which cut into our beach time.,-0.5267
65,Costa Maya,Costa Maya was just a tourist trap.,-0.3182
66,Roatan,Roatan was a dream!,0.3164
66,Roatan,"It's a bit of a trek to get there-bus then a small boat-but once you arrive, it's paradise.",0.6369
66,Costa Maya,Costa Maya was much more stressful.,-0.5563
66,Costa Maya,"The taxi drivers were very aggressive at the pier, shouting prices.",-0.2247
66,Cozumel,Cozumel was a solid day.,0.1531
66,Cozumel,"The port time in Cozumel felt perfect,",0.5719
66,Cozumel,I could have stayed at the key for another three hours easily.,0.34
66,Cozumel,Overall a great mix of culture and relaxation.,0.8176
67,Costa Maya,Chacchoben in Costa Maya didn't disappoint.,0.3089
67,Costa Maya,"The climbable sections are limited now to preserve them,",-0.2263
67,Costa Maya,the scale is still impressive.,0.5106
67,Roatan,Roatan was the most authentic-feeling stop.,-0.3566
67,Roatan,We visited a local school as part of a 'giving back' excursion.,0.34
67,Roatan,It was humbling and much better than sitting on a beach.,0.4404
67,Roatan,"The logistics in Roatan were a bit messy with the bus dispatch,",-0.3612
67,Roatan,the experience itself was the highlight of my cruise.,0.34
67,Roatan,Wish we had stayed later in Mexico to see the sunset.,0.4019
69,Costa Maya,Costa Maya snorkeling was disappointing.,-0.4939
69,Cozumel,Cozumel was much better.,0.4404
69,Roatan,Roatan was the best for scenery,0.6369
70,Cozumel,"Cozumel was our last stop and we were a bit tired, so we just walked around the Plaza del Sol.",-0.6249
70,Cozumel,It's a nice area,0.4215
70,Cozumel,be prepared to be hassled by every shop owner you pass.,0.2263
70,Cozumel,"The timing for all the ports was decent, though an extra hour in Cozumel would have been nice for a sit-down dinner.",0.4215
71,Roatan,Roatan is beautiful,0.5994
71,Roatan,the roads are terrible.,-0.4767
72,Roatan,Roatan was also great.,0.6249
72,Roatan,"The safety standards seemed okay, though the equipment looked a bit weathered.",0.5719
72,Roatan,I'd recommend booking third-party in Cozumel and Roatan to save money.,0.6908
72,Cozumel,I'd recommend booking third-party in Cozumel and Roatan to save money.,0.6908
72,Costa Maya,Costa Maya is small enough that you can just wing it if you're brave.,0.5267
73,Costa Maya,I struggled with the walking in Costa Maya.,-0.34
73,Costa Maya,The pier is huge and the shuttle was full.,0.3182
73,Costa Maya,"Once in the port, it's all cobblestones which was hard for my walker.",-0.1027
73,Roatan,"Roatan was a bit of a challenge too, very hilly.",0.0772
73,Roatan,The crafts in Roatan were much more unique than the stuff in Mexico-lots of beautiful wood carvings.,0.5994
73,Roatan,I wish the cruise line provided more information about the walking distances at each pier before we got off.,0.4019
74,Costa Maya,Costa Maya was just 'meh' for me.,-0.0772
74,Costa Maya,Too many people trying to sell me stuff I didn't want.,-0.0572
75,Roatan,I was really disappointed with the time we had in Roatan.,-0.5256
75,Costa Maya,Costa Maya felt like a long day in a shopping mall.,0.3612
75,Cozumel,Cozumel was the highlight for me because we did a private taco tour downtown.,0.34
75,Cozumel,It felt like we actually saw the real Mexico for a few hours.,0.3612
75,Cozumel,I'd recommend skipping the ship excursions in Cozumel and hiring a local guide.,0.3612
76,Roatan,Roatan was much better.,0.4404
76,Cozumel,The reef is in much better shape than the ones near Cozumel.,0.4404
76,Roatan,The port staff in Roatan were also much friendlier and less pushy than the ones in Mexico.,0.2944
77,Roatan,Roatan ziplining was scary,-0.4939
77,Roatan,fun!,0.5562
77,Roatan,The guides were hilarious.,0.4019
78,Cozumel,"In Cozumel, I did the 'Amazing Cozumel Race' which was like a scavenger hunt.",0.743
78,Costa Maya,Costa Maya was a bit of a waste of time for me.,-0.4215
78,Costa Maya,"I walked around the port, saw the flamingos (which looked a bit sad), and went back to the ship.",-0.4767
78,Roatan,Roatan was better.,0.4404
79,Cozumel,"Cozumel: Don't miss the ferry to the mainland if you want real adventure,",0.4667
79,Costa Maya,Costa Maya: Maya Chan is the best beach club ever.,0.6369
79,Costa Maya,They treat you like family.,0.6369
80,Roatan,Roatan continues to be my favorite.,0.4588
80,Costa Maya,"Costa Maya hasn't changed much-still a tourist trap at the pier,",-0.3182
80,Costa Maya,The seaweed problem in Costa Maya seems to be getting worse every year though.,-0.7003
80,Cozumel,"The port logistics were smooth at all three stops, though the security line to get back on the ship in Cozumel was nearly 30 minutes long in the direct sun.",0.2023
80,Cozumel,"Overall, a great trip for anyone who loves the sun,",0.8316
81,Roatan,Roatan ended up being the highlight for us.,0.34
81,Roatan,We booked a small-group snorkeling trip and the water clarity was unreal compared to what we've seen elsewhere.,0.4019
81,Roatan,"The boat ride was short and smooth, and we had plenty of time in the water without feeling rushed.",-0.0951
81,Cozumel,"Cozumel was somewhere in between; we grabbed a taxi downtown and wandered around, which was enjoyable",0.4404
82,Roatan,We skipped Roatan entirely because we weren't interested in the excursion options and honestly just needed a slow morning.,0.1882
82,Roatan,It was relaxing,0.4939
82,Roatan,the taxi situation was a little chaotic getting back.,-0.4417
83,Costa Maya,"In Costa Maya we did the ruins tour, which involved about an hour bus ride each way.",-0.4404
83,Costa Maya,"The ruins themselves were impressive, especially being surrounded by jungle,",0.1027
84,Roatan,Roatan was my favorite day by far.,0.4588
84,Roatan,"We visited a wildlife park where we held a sloth and saw monkeys, which felt like a once-in-a-lifetime experience.",0.6486
84,Roatan,The rest of the day was a mix of driving around the island and stopping at viewpoints.,-0.1531
84,Cozumel,"In Cozumel, we booked a snorkeling excursion that was fun",0.5106
84,Cozumel,pretty crowded.,0.4939
84,Cozumel,"Still, I appreciated the variety across the three stops.",0.4019
85,Cozumel,"Traveling with two teenagers, Cozumel worked best for us.",0.6369
85,Roatan,Roatan was enjoyable,0.4404
85,Roatan,"the drive between stops took longer than expected, which cut into our time.",-0.4019
85,Roatan,I'd recommend planning something specific there rather than winging it.,0.3612
86,Costa Maya,Costa Maya surprised me in a good way.,0.5859
86,Roatan,Roatan was nice,0.4215
86,Roatan,a little disorganized getting off the ship and meeting our guide.,-0.228
86,Cozumel,"Cozumel was easy to navigate, though very busy.",0.4404
86,Costa Maya,"If you like quieter, more intimate experiences, Costa Maya might actually be the best stop depending on what you book.",0.6705
87,Roatan,Roatan had the best water we saw all trip.,0.6369
87,Roatan,"We went diving and visibility was excellent, easily the highlight of the cruise.",0.8316
87,Costa Maya,Costa Maya felt like it required more effort to enjoy-we didn't book anything and ended up back on the ship early.,0.3612
87,Costa Maya,"The itinerary is solid if you plan ahead, otherwise some ports can feel underwhelming.",0.1531
88,Costa Maya,"Costa Maya felt more like a shopping stop, so we didn't venture far.",0.1513
88,Costa Maya,"It's an easy itinerary if you don't want to overplan,",0.3975
88,Costa Maya,you definitely get more out of it if you research ahead.,0.4019
90,Cozumel,Cozumel felt the most developed and easiest to explore independently.,0.4703
90,Roatan,"Roatan was more about organized excursions, and we enjoyed a guided island tour that included scenic stops and a short beach break.",0.4019
90,Costa Maya,"Costa Maya was the only port where we felt unsure what to do without an excursion, so we didn't spend much time off the ship there.",-0.25
91,Costa Maya,"Roatan was a full-day excursion with multiple stops, Costa Maya was an early morning ruins trip, and by Cozumel we were worn out.",-0.6908
91,Roatan,"Roatan was a full-day excursion with multiple stops, Costa Maya was an early morning ruins trip, and by Cozumel we were worn out.",-0.6908
91,Cozumel,"Roatan was a full-day excursion with multiple stops, Costa Maya was an early morning ruins trip, and by Cozumel we were worn out.",-0.6908
92,Costa Maya,Costa Maya was better than expected because we booked something ahead of time.,0.4404
92,Costa Maya,A beach club outside the port had good service and fewer crowds.,0.4404
92,Roatan,Roatan was beautiful,0.5994
92,Roatan,a bit chaotic at the port when disembarking.,-0.4939
92,Roatan,"Each stop had its pros and cons, so it really depends on your travel style.",-0.296
93,Roatan,Roatan had the best mix of activities.,0.6369
93,Costa Maya,Costa Maya felt more limited unless you booked something specific.,-0.2944
93,Cozumel,Cozumel was fun,0.5106
94,Cozumel,Cozumel was easier to explore and had more variety.,0.4215
94,Cozumel,"I appreciated having different types of experiences across the itinerary, even if not every port was equally strong.",0.765
95,Cozumel,Cozumel was the easiest port to enjoy without planning anything.,0.7184
95,Costa Maya,"Roatan required more coordination with excursions, and Costa Maya felt like you needed to leave the port area to really experience anything.",0.3182
95,Roatan,"Roatan required more coordination with excursions, and Costa Maya felt like you needed to leave the port area to really experience anything.",0.3182
95,Costa Maya,"We didn't do that, so it ended up being our least favorite stop.",-0.569
95,Roatan,"We didn't do that, so it ended up being our least favorite stop.",-0.569
96,Roatan,Roatan stood out because of the natural scenery.,0.3612
96,Roatan,"We booked a guided tour that included a beach and some local stops, and it felt more authentic than the other ports.",-0.1531
96,Cozumel,Cozumel had a good balance-you could do excursions or just explore.,0.4404
96,Roatan,"Timing at each port felt adequate, though I wouldn't have minded an extra hour in Roatan.",0.2263
97,Roatan,"Roatan was excellent, especially for snorkeling.",0.5719
97,Cozumel,Cozumel was enjoyable,0.4404
